time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.level,.name,.msg,.file,.function,.line,.topics
2020/11/26/18:41:47.803530,6,1606412507,792817581,,2,/record,Subscribing to /rosout,/tmp/binarydeb/ros-melodic-rosbag-1.14.9/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,213,['/rosout']
2020/11/26/18:41:47.803546,7,1606412507,796899939,,2,/record,Subscribing to /state,/tmp/binarydeb/ros-melodic-rosbag-1.14.9/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,213,['/rosout']
2020/11/26/18:41:47.803550,8,1606412507,800044039,,2,/record,Subscribing to /vertical_thrust,/tmp/binarydeb/ros-melodic-rosbag-1.14.9/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,213,['/rosout']
2020/11/26/18:41:47.803643,9,1606412507,803559444,,2,/record,Recording to '/home/hippoc/bag_2020-11-26-18-41-47.bag'.,/tmp/binarydeb/ros-melodic-rosbag-1.14.9/src/recorder.cpp,Recorder::startWriting,394,['/rosout']
2020/11/26/18:41:47.974289,14,1606410250,12408971,,8,/rqt_gui_py_node_28510,param client failed,node_selector_widget.py,NodeSelectorWidget._selection_changed_slot,296,"['/rosout', '/pressure']"
2020/11/26/18:41:47.990996,1119,1606412504,64595075,,2,/mavros,HP: requesting home position,/home/ubuntu/catkin_ws/src/mavros/mavros/src/plugins/home_position.cpp,std_plugins::HomePositionPlugin::timeout_cb,165,"['/rosout', '/diagnostics', '/tf', '/tf_static', '/mavlink/from', '/mavros/radio_status', '/mavros/target_actuator_control', '/mavros/adsb/vehicle', '/mavros/altitude', '/mavros/cam_imu_sync/cam_imu_stamp', '/mavros/debug_value/debug', '/mavros/debug_value/debug_vector', '/mavros/debug_value/named_value_float', '/mavros/debug_value/named_value_int', '/mavros/esc_info', '/mavros/esc_status', '/mavros/global_position/raw/fix', '/mavros/global_position/raw/gps_vel', '/mavros/global_position/raw/satellites', '/mavros/global_position/global', '/mavros/global_position/local', '/mavros/global_position/rel_alt', '/mavros/global_position/compass_hdg', '/mavros/global_position/gp_origin', '/mavros/global_position/gp_lp_offset', '/mavros/gps_rtk/rtk_baseline', '/mavros/gpsstatus/gps1/raw', '/mavros/gpsstatus/gps2/raw', '/mavros/gpsstatus/gps1/rtk', '/mavros/gpsstatus/gps2/rtk', '/mavros/hil/controls', '/mavros/hil/actuator_controls', '/mavros/home_position/home', '/mavros/imu/data', '/mavros/imu/mag', '/mavros/imu/temperature_imu', '/mavros/imu/temperature_baro', '/mavros/imu/static_pressure', '/mavros/imu/diff_pressure', '/mavros/imu/data_raw', '/mavros/landing_target/pose_in', '/mavros/landing_target/lt_marker', '/mavros/local_position/pose', '/mavros/local_position/pose_cov', '/mavros/local_position/velocity_local', '/mavros/local_position/velocity_body', '/mavros/local_position/velocity_body_cov', '/mavros/local_position/accel', '/mavros/local_position/odom', '/mavros/log_transfer/raw/log_entry', '/mavros/log_transfer/raw/log_data', '/mavros/manual_control/control', '/mavros/mount_control/orientation', '/mavros/odometry/in', '/mavros/param/param_value', '/mavros/px4flow/raw/optical_flow_rad', '/mavros/px4flow/ground_distance', '/mavros/px4flow/temperature', '/mavros/rc/in', '/mavros/rc/out', '/mavros/setpoint_raw/target_local', '/mavros/setpoint_raw/target_global', '/mavros/setpoint_raw/target_attitude', '/mavros/setpoint_trajectory/desired', '/mavros/state', '/mavros/extended_state', '/mavros/battery', '/mavros/estimator_status', '/mavros/statustext/recv', '/mavros/time_reference', '/mavros/timesync_status', '/mavros/trajectory/desired', '/mavros/vfr_hud', '/mavros/mission/waypoints', '/mavros/mission/reached', '/mavros/wind_estimation', '/mavlink/gcs_ip']"
2020/11/26/18:41:47.992580,22,1606407003,950438022,,4,/barometer,Inbound TCP/IP connection failed: connection from sender terminated before handshake header received. 0 bytes were received. Please check sender for additional details.,tcpros_base.py,TCPROSServer._tcp_server_callback,355,"['/rosout', '/pressure']"
2020/11/26/18:41:48.656884,2,1606412508,440480947,,4,/mixer,No vertical_thrust control received!,mixer.py,MixerNode.check_msg_times,111,"['/mavros/setpoint_motor/setpoint', '/lateral_thrust', '/yaw', '/roll', '/rosout', '/thrust', '/vertical_thrust', '/pitch']"
2020/11/26/18:41:48.667325,1120,1606412508,660819027,,2,/mavros,FCU: Failsafe mode deactivated,/home/ubuntu/catkin_ws/src/mavros/mavros/src/plugins/sys_status.cpp,std_plugins::SystemStatusPlugin::process_statustext_normal,607,"['/rosout', '/diagnostics', '/tf', '/tf_static', '/mavlink/from', '/mavros/radio_status', '/mavros/target_actuator_control', '/mavros/adsb/vehicle', '/mavros/altitude', '/mavros/cam_imu_sync/cam_imu_stamp', '/mavros/debug_value/debug', '/mavros/debug_value/debug_vector', '/mavros/debug_value/named_value_float', '/mavros/debug_value/named_value_int', '/mavros/esc_info', '/mavros/esc_status', '/mavros/global_position/raw/fix', '/mavros/global_position/raw/gps_vel', '/mavros/global_position/raw/satellites', '/mavros/global_position/global', '/mavros/global_position/local', '/mavros/global_position/rel_alt', '/mavros/global_position/compass_hdg', '/mavros/global_position/gp_origin', '/mavros/global_position/gp_lp_offset', '/mavros/gps_rtk/rtk_baseline', '/mavros/gpsstatus/gps1/raw', '/mavros/gpsstatus/gps2/raw', '/mavros/gpsstatus/gps1/rtk', '/mavros/gpsstatus/gps2/rtk', '/mavros/hil/controls', '/mavros/hil/actuator_controls', '/mavros/home_position/home', '/mavros/imu/data', '/mavros/imu/mag', '/mavros/imu/temperature_imu', '/mavros/imu/temperature_baro', '/mavros/imu/static_pressure', '/mavros/imu/diff_pressure', '/mavros/imu/data_raw', '/mavros/landing_target/pose_in', '/mavros/landing_target/lt_marker', '/mavros/local_position/pose', '/mavros/local_position/pose_cov', '/mavros/local_position/velocity_local', '/mavros/local_position/velocity_body', '/mavros/local_position/velocity_body_cov', '/mavros/local_position/accel', '/mavros/local_position/odom', '/mavros/log_transfer/raw/log_entry', '/mavros/log_transfer/raw/log_data', '/mavros/manual_control/control', '/mavros/mount_control/orientation', '/mavros/odometry/in', '/mavros/param/param_value', '/mavros/px4flow/raw/optical_flow_rad', '/mavros/px4flow/ground_distance', '/mavros/px4flow/temperature', '/mavros/rc/in', '/mavros/rc/out', '/mavros/setpoint_raw/target_local', '/mavros/setpoint_raw/target_global', '/mavros/setpoint_raw/target_attitude', '/mavros/setpoint_trajectory/desired', '/mavros/state', '/mavros/extended_state', '/mavros/battery', '/mavros/estimator_status', '/mavros/statustext/recv', '/mavros/time_reference', '/mavros/timesync_status', '/mavros/trajectory/desired', '/mavros/vfr_hud', '/mavros/mission/waypoints', '/mavros/mission/reached', '/mavros/wind_estimation', '/mavlink/gcs_ip']"
2020/11/26/18:41:49.097690,2,1606412508,823654890,,2,/state_estimator,New Parameters received by State Estimator,state_estimator.py,StateEstimatorNode.server_callback,51,"['/rosout', '/state_estimator/parameter_updates', '/mavros/local_position/accel', '/state', '/state_estimator/parameter_descriptions']"
2020/11/26/18:41:49.440926,3,1606412509,440625905,,4,/mixer,No vertical_thrust control received!,mixer.py,MixerNode.check_msg_times,111,"['/mavros/setpoint_motor/setpoint', '/lateral_thrust', '/yaw', '/roll', '/rosout', '/thrust', '/vertical_thrust', '/pitch']"
2020/11/26/18:41:50.440958,4,1606412510,440660953,,4,/mixer,No vertical_thrust control received!,mixer.py,MixerNode.check_msg_times,111,"['/mavros/setpoint_motor/setpoint', '/lateral_thrust', '/yaw', '/roll', '/rosout', '/thrust', '/vertical_thrust', '/pitch']"
2020/11/26/18:41:51.461369,5,1606412511,460685968,,4,/mixer,No vertical_thrust control received!,mixer.py,MixerNode.check_msg_times,111,"['/mavros/setpoint_motor/setpoint', '/lateral_thrust', '/yaw', '/roll', '/rosout', '/thrust', '/vertical_thrust', '/pitch']"
2020/11/26/18:41:52.480975,6,1606412512,480695009,,4,/mixer,No vertical_thrust control received!,mixer.py,MixerNode.check_msg_times,111,"['/mavros/setpoint_motor/setpoint', '/lateral_thrust', '/yaw', '/roll', '/rosout', '/thrust', '/vertical_thrust', '/pitch']"
2020/11/26/18:41:53.481212,7,1606412513,480741024,,4,/mixer,No vertical_thrust control received!,mixer.py,MixerNode.check_msg_times,111,"['/mavros/setpoint_motor/setpoint', '/lateral_thrust', '/yaw', '/roll', '/rosout', '/thrust', '/vertical_thrust', '/pitch']"
2020/11/26/18:41:53.900035,1,1606412513,899633884,,2,/controller,New Parameters received by Controller,controller.py,ControllerNode.server_callback,136,"['/controller/parameter_descriptions', '/controller_ready', '/controller/parameter_updates', '/rosout', '/vertical_thrust', '/state', '/control_error']"
2020/11/26/18:41:53.929432,2,1606412513,929061889,,4,/controller,Diving depth outside safe region!,controller.py,ControllerNode.controller,209,"['/parameters', '/controller/parameter_descriptions', '/controller_ready', '/state', '/rosout', '/control_error', '/vertical_thrust', '/controller/parameter_updates', '/depth_setpoint']"
